,record_type,school_name,district_name,county_name,grade_11_enroll,grade_11_takers,grade_11_erw_bm_num,grade_11_erw_bm_pct,grade_11_maths_bm_num,grade_11_maths_bm_pct,grade_11_total_bm_num,grade_11_total_bm_pct,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
63,S,Claremont High,Claremont Unified,Los Angeles,565.0,314.0,298.0,94.9,268.0,85.35,261.0,83.12,591.0,263.0,234.0,88.97,181.0,68.82,175.0,66.54
64,S,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,113.0,100.0,40.0,40.0,8.0,8.0,8.0,8.0,85.0,31.0,11.0,35.48,1.0,3.23,1.0,3.23
65,S,Los Banos High,Los Banos Unified,Merced,304.0,80.0,55.0,68.75,31.0,38.75,27.0,33.75,303.0,95.0,62.0,65.26,36.0,37.89,34.0,35.79
67,S,Arroyo Valley High,San Bernardino City Unified,San Bernardino,631.0,554.0,209.0,37.73,91.0,16.43,85.0,15.34,565.0,202.0,103.0,50.99,51.0,25.25,46.0,22.77
68,S,Middle College High,San Bernardino City Unified,San Bernardino,70.0,67.0,55.0,82.09,44.0,65.67,41.0,61.19,67.0,50.0,38.0,76.0,26.0,52.0,23.0,46.0
70,S,Bear Creek High,Lodi Unified,San Joaquin,540.0,114.0,96.0,84.21,87.0,76.32,82.0,71.93,450.0,173.0,125.0,72.25,109.0,63.01,100.0,57.8
71,S,Northern United - Siskiyou Charter,Siskiyou County Office of Education,Siskiyou,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,S,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,100.0,89.0,43.0,48.31,18.0,20.22,15.0,16.85,87.0,29.0,17.0,58.62,6.0,20.69,5.0,17.24
73,S,Torrance High,Torrance Unified,Los Angeles,446.0,174.0,158.0,90.8,128.0,73.56,126.0,72.41,509.0,218.0,182.0,83.49,132.0,60.55,127.0,58.26
74,S,El Capitan High,Merced Union High,Merced,388.0,106.0,81.0,76.42,57.0,53.77,57.0,53.77,373.0,142.0,91.0,64.08,46.0,32.39,44.0,30.99
75,S,Merced High,Merced Union High,Merced,417.0,79.0,54.0,68.35,41.0,51.9,38.0,48.1,400.0,110.0,78.0,70.91,47.0,42.73,43.0,39.09
76,S,El Camino Fundamental High,San Juan Unified,Sacramento,352.0,120.0,106.0,88.33,75.0,62.5,72.0,60.0,321.0,119.0,102.0,85.71,75.0,63.03,74.0,62.18
78,S,Point Loma High,San Diego Unified,San Diego,480.0,238.0,212.0,89.08,180.0,75.63,174.0,73.11,456.0,191.0,168.0,87.96,134.0,70.16,132.0,69.11
80,S,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,132.0,127.0,79.0,62.2,57.0,44.88,48.0,37.8,123.0,123.0,58.0,47.15,30.0,24.39,26.0,21.14
81,S,Port of Los Angeles High,Los Angeles Unified,Los Angeles,241.0,77.0,66.0,85.71,62.0,80.52,59.0,76.62,202.0,80.0,62.0,77.5,53.0,66.25,48.0,60.0
82,S,Chowchilla Union High,Chowchilla Union High,Madera,259.0,65.0,51.0,78.46,29.0,44.62,27.0,41.54,262.0,86.0,48.0,55.81,20.0,23.26,18.0,20.93
84,S,Mountain Vista High,Madera Unified,Madera,64.0,47.0,3.0,6.38,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,S,Colfax High,Placer Union High,Placer,142.0,41.0,38.0,92.68,35.0,85.37,34.0,82.93,125.0,51.0,41.0,80.39,30.0,58.82,28.0,54.9
86,S,Herbert Hoover High,Glendale Unified,Los Angeles,426.0,121.0,108.0,89.26,94.0,77.69,91.0,75.21,351.0,100.0,85.0,85.0,72.0,72.0,69.0,69.0
87,S,Compton High,Compton Unified,Los Angeles,407.0,320.0,101.0,31.56,38.0,11.88,28.0,8.75,354.0,65.0,25.0,38.46,9.0,13.85,9.0,13.85
88,S,Thurgood Marshall,Compton Unified,Los Angeles,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,S,Saddleback High,Santa Ana Unified,Orange,348.0,97.0,49.0,50.52,42.0,43.3,31.0,31.96,383.0,321.0,106.0,33.02,80.0,24.92,64.0,19.94
