,record_type,school_name,district_name,county_name,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
37,S,Mills High,San Mateo Union High,San Mateo,299.0,147.0,137.0,93.2,132.0,89.8,126.0,85.71
38,S,South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,71.0,82.56,53.0,61.63,51.0,59.3
39,S,Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,157.0,88.2,143.0,80.34,132.0,74.16
41,S,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,10.0,58.82,6.0,35.29,6.0,35.29
43,S,Las Flores High (Alternative),Elk Grove Unified,Sacramento,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,S,Lowell High,San Francisco Unified,San Francisco,678.0,423.0,415.0,98.11,386.0,91.25,385.0,91.02
45,S,Civicorps Corpsmember Academy,Oakland Unified,Alameda,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,S,Tamalpais High,Tamalpais Union High,Marin,376.0,149.0,138.0,92.62,121.0,81.21,119.0,79.87
48,S,River Springs Charter,Riverside County Office of Education,Riverside,213.0,33.0,30.0,90.91,22.0,66.67,22.0,66.67
50,S,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,18.0,8.0,44.44,2.0,11.11,1.0,5.56
51,S,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,25.0,20.0,80.0,11.0,44.0,11.0,44.0
52,S,Venture Academy,San Joaquin County Office of Education,San Joaquin,266.0,77.0,47.0,61.04,18.0,23.38,18.0,23.38
53,S,Maple High,Lompoc Unified,Santa Barbara,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,S,Heritage High,Liberty Union High,Contra Costa,574.0,244.0,212.0,86.89,158.0,64.75,156.0,63.93
55,S,Tranquillity High,Golden Plains Unified,Fresno,120.0,27.0,10.0,37.04,0.0,0.0,0.0,0.0
56,S,Sierra High,Sierra Unified,Fresno,91.0,28.0,26.0,92.86,15.0,53.57,15.0,53.57
58,S,Lakeside High,Lake Elsinore Unified,Riverside,387.0,112.0,68.0,60.71,41.0,36.61,36.0,32.14
59,S,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,556.0,458.0,82.37,362.0,65.11,352.0,63.31
60,S,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,118.0,79.0,6.0,7.59,0.0,0.0,0.0,0.0
61,S,Chino High,Chino Valley Unified,San Bernardino,432.0,354.0,174.0,49.15,84.0,23.73,77.0,21.75
63,S,Claremont High,Claremont Unified,Los Angeles,591.0,263.0,234.0,88.97,181.0,68.82,175.0,66.54
64,S,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85.0,31.0,11.0,35.48,1.0,3.23,1.0,3.23
65,S,Los Banos High,Los Banos Unified,Merced,303.0,95.0,62.0,65.26,36.0,37.89,34.0,35.79
