Place,County/ies,Population,Population Density,Per capita income,Median household income,Median family income
Pittsburg,Contra Costa,65761,3826,23330,60376,64521
Pixley,Tulare,3769,1210,9889,28179,29702
Placentia,Orange,51860,7841,30218,79275,87403
Placerville,El Dorado,10415,1792,24801,46199,59158
Plainview,Tulare,858,2777,6873,25938,26042
Planada,Merced,4465,2831,13072,35690,36056
Pleasant Hill,Contra Costa,33842,4783,43580,81556,108900
Pleasanton,Alameda,73164,2995,50972,123608,140311
Pleasure Point,Santa Cruz,6004,7973,38471,57462,60078
Plumas Eureka,Plumas,265,67,56948,63611,63472
Plumas Lake,Yuba,6380,761,24080,78333,75400
Plymouth,Amador,1185,1273,20681,44531,56042
Point Arena,Mendocino,405,300,18534,30000,47500
Point Reyes Station,Marin,848,235,39984,36597,88098
Pollock Pines,El Dorado,6540,825,31164,49044,57396
Pomona,Los Angeles,151142,6585,17041,48993,50475
Ponderosa,Tulare,100,123,61992,[7],[7]
Poplar-Cotton Center,Tulare,2764,2154,9980,21434,21500
Port Costa,Contra Costa,302,1911,54767,94018,88859
Porterville,Tulare,54949,3121,17330,41267,43657
Port Hueneme,Ventura,21949,4931,22352,52826,54966
Portola,Plumas,2710,501,21747,34134,36375
Portola Valley,San Mateo,4478,492,152128,182381,[7]
Posey,Tulare,8,22,15638,[7],[7]
Poso Park,Tulare,4,91,[7],[7],[7]
Potrero,San Diego,693,220,12354,29554,37878
Potter Valley,Mendocino,509,126,24767,64500,91442
Poway,San Diego,49040,1255,40681,96315,109110
Prattville,Plumas,12,20,[7],[7],[7]
Princeton,Colusa,232,126,29977,63929,75938
Proberta,Tehama,280,196,24271,34477,33727
Prunedale,Monterey,18574,403,29138,72933,79802
Quartz Hill,Los Angeles,11002,2924,24681,53929,61990
Quincy,Plumas,1439,341,27394,46875,67708
Rackerby,Butte,139,47,25837,48125,53750
Rail Road Flat,Calaveras,369,11,20788,29922,34145
Rainbow,San Diego,1678,152,30720,54408,76250
Raisin City,Fresno,232,305,10661,18750,12143
Ramona,San Diego,21578,562,24863,62919,69171
Rancho Calaveras,Calaveras,5736,685,24281,56607,62371
Rancho Cordova,Sacramento,67167,1927,24462,53563,58979
Rancho Cucamonga,San Bernardino,170170,4269,31528,77061,88529
Rancho Mirage,Riverside,17634,721,62814,71688,99677
Rancho Murieta,Sacramento,5804,488,53085,103750,116284
Rancho Palos Verdes,Los Angeles,42282,3140,57201,120697,137506
Rancho San Diego,San Diego,21514,2473,38339,80591,92779
Rancho Santa Fe,San Diego,2838,423,68119,101250,132054
Rancho Santa Margarita,Orange,48758,3781,42768,104952,120863
Rancho Tehama Reserve,Tehama,2300,198,14720,26046,23787
Randsburg,Kern,128,67,27320,26813,[7]
Red Bluff,Tehama,14069,1860,16505,32393,37926
Red Corral,Amador,1601,274,23210,30431,65469
Redcrest,Humboldt,52,87,17604,28750,21875
Redding,Shasta,90725,1521,23893,43773,56506
Redlands,San Bernardino,69787,1937,31745,67112,85484
Redondo Beach,Los Angeles,67511,10892,52775,103064,123561
Redway,Humboldt,1132,905,19209,37882,50758
Redwood City,San Mateo,79736,4099,42063,81955,98149
Redwood Valley,Mendocino,1814,663,22656,78340,72577
Reedley,Fresno,24858,4839,16966,46002,45891
Reliez Valley,Contra Costa,3677,1559,77832,126458,131161
Rialto,San Bernardino,101367,4537,16206,50277,52595
Richfield,Tehama,278,496,25302,42500,46000
Richgrove,Tulare,3006,6650,8827,29792,29750
Richmond,Contra Costa,106469,3543,25769,54857,59976
Richvale,Butte,86,93,131735,77734,[7]
Ridgecrest,Kern,28282,1362,27954,61480,70645
Ridgemark,San Benito,3471,1351,44974,100690,117672
Rio Dell,Humboldt,3373,1479,25645,39692,40733
Rio del Mar,Santa Cruz,9240,3080,53990,95938,125740
Rio Linda,Sacramento,14581,1470,21131,50873,55063
Rio Oso,Sutter,428,66,32343,66250,90500
Rio Vista,Solano,7646,1152,33919,62616,70045
Ripley,Riverside,659,387,10612,16522,17917
Ripon,San Joaquin,14645,2761,32213,75420,88176
Riverbank,Stanislaus,23310,5697,20646,59183,62366
Riverdale,Fresno,3881,989,12580,48350,44356
Riverdale Park,Stanislaus,922,642,9263,26838,25392
River Pines,Amador,309,844,12511,48285,[7]
Riverside,Riverside,313041,3856,22212,56089,63418
Robbins,Sutter,355,137,19788,38158,42750
Robinson Mill,Butte,0,0,[7],[7],[7]
Rocklin,Placer,59002,3019,35200,79274,91946
Rodeo,Contra Costa,9648,2576,27318,68701,78949
Rodriguez Camp,Tulare,192,730,4581,27596,28365
Rohnert Park,Sonoma,41352,5905,27021,57557,71590
Rolling Hills,Los Angeles,1689,565,117241,218583,227250
Rolling Hills,Madera,921,1556,37133,100774,114107
Rolling Hills Estates,Los Angeles,8184,2293,66681,136477,154043
Rollingwood,Contra Costa,2832,16659,14782,48974,51250
Romoland,Riverside,1682,636,16795,61232,60540
Rosamond,Kern,18658,358,21792,59099,61613
Rosedale,Kern,14826,502,42818,111273,121866
Rose Hills,Los Angeles,3260,7426,44614,94764,108438
Roseland,Sonoma,5556,5886,20167,53364,55677
Rosemead,Los Angeles,54457,10550,17129,44524,44868
Rosemont,Sacramento,22824,5249,24417,54384,59959
Roseville,Placer,124250,2944,34514,76712,94461
Ross,Marin,2227,1431,95706,186477,200833
Rossmoor,Orange,10816,7010,52267,114239,135833
Rough and Ready,Nevada,1195,377,22190,42268,75978
Round Mountain,Shasta,126,75,28929,22115,34688
Round Valley,Inyo,436,32,21687,45833,55625
Rouse,Stanislaus,1757,7382,9395,23618,23026
Rowland Heights,Los Angeles,51597,3946,25845,61375,64678
Running Springs,San Bernardino,4833,1150,28253,69412,80905
Ruth,Trinity,164,4,19787,24028,76250
Rutherford,Napa,219,130,35604,62024,102222
Sacramento,Sacramento,476075,4862,26060,50013,57200
St. Helena,Napa,5895,1182,47794,78421,95000
Salida,Stanislaus,14509,2694,22428,72872,80594
Salinas,Monterey,154077,6526,17810,49728,51426
Salmon Creek,Sonoma,59,53,34354,34783,[7]
Salton City,Imperial,3867,180,16319,33906,35320
Salton Sea Beach,Imperial,757,2515,13722,19934,26944
Samoa,Humboldt,305,364,23614,52778,49464
San Andreas,Calaveras,2829,338,22518,40613,50500
San Anselmo,Marin,12527,4680,56821,100681,122857
San Antonio Heights,San Bernardino,3097,1260,57021,95250,109766
San Ardo,Monterey,647,1441,12899,42333,50438
San Bernardino,San Bernardino,213044,3464,14759,38774,40305
San Bruno,San Mateo,42090,7707,35866,81420,89805
San Buenaventura (Ventura),Ventura,108449,4971,33180,66485,81446
San Carlos,San Mateo,29166,5278,62548,125747,158853
San Clemente,Orange,64673,3523,48063,91749,113018
Sand City,Monterey,355,632,25884,34659,34750
San Diego,San Diego,1341510,4125,33789,65753,78414
San Diego Country Estates,San Diego,10191,605,36448,100849,103806
San Dimas,Los Angeles,33896,2254,35345,78911,92140
San Fernando,Los Angeles,24050,10131,17766,55044,56482
San Francisco,San Francisco,829072,17680,49986,78378,93391
San Gabriel,Los Angeles,40173,9692,25047,56238,62144
Sanger,Fresno,24587,4298,16620,42094,50206
San Geronimo,Marin,369,245,52139,79485,89107
San Jacinto,Riverside,45497,1769,17350,46714,52111
San Joaquin,Fresno,4010,3350,7519,25545,24583
San Jose,Santa Clara,986320,5586,34992,83787,92379
San Juan Bautista,San Benito,2219,3121,26097,57717,59321
San Juan Capistrano,Orange,35562,2498,37917,72568,82399
San Leandro,Alameda,87159,6530,29442,64279,76781
San Lorenzo,Alameda,24563,8874,26755,74283,80149
San Lucas,Monterey,243,617,13289,45417,51250
San Luis Obispo,San Luis Obispo,45911,3497,26377,44894,78641
San Marcos,San Diego,87808,3604,24789,56139,63866
San Marino,Los Angeles,13294,3529,72861,119300,154050
San Martin,Santa Clara,7081,611,40075,107966,121154
San Mateo,San Mateo,100114,8253,46782,90087,106876
San Miguel,Contra Costa,3355,3195,57644,136346,157768
San Miguel,San Luis Obispo,2638,1571,19793,47875,42692
San Pablo,Contra Costa,29516,11223,16874,42746,47666
San Pasqual,Los Angeles,2143,8404,56601,103409,110833
San Rafael,Marin,58588,3536,46075,75668,96660
San Ramon,Contra Costa,73826,3971,51569,129062,151494
San Simeon,San Luis Obispo,477,599,18990,33889,53796
Santa Ana,Orange,331266,12203,16345,52519,50505
Santa Barbara,Santa Barbara,89669,4601,37692,65916,82769
Santa Clara,Santa Clara,119525,6493,41222,93840,109672
Santa Clarita,Los Angeles,179030,3395,33879,83178,90819
Santa Cruz,Santa Cruz,62045,4870,29177,61533,79431
Santa Fe Springs,Los Angeles,16859,1900,20761,51786,63333
Santa Margarita,San Luis Obispo,1231,2381,28335,51453,65104
Santa Maria,Santa Barbara,101468,4454,18509,50753,52515
Santa Monica,Los Angeles,91619,10888,58252,74534,113956
Santa Nella,Merced,1164,255,19860,30000,43281
Santa Paula,Ventura,29990,6530,20303,53692,58110
Santa Rosa,Sonoma,170782,4136,29890,60758,69921
Santa Rosa Valley,Ventura,3422,494,67083,162639,175466
Santa Susana,Ventura,989,889,35603,87386,100750
Santa Venetia,Marin,5017,1370,34564,81583,98939
Santa Ynez,Santa Barbara,4909,956,43990,97911,99519
Santee,San Diego,55435,3416,30531,74213,86397
Saranap,Contra Costa,5591,4930,49107,102054,131675
Saratoga,Santa Clara,30627,2454,77667,167917,197332
Saticoy,Ventura,1212,3258,11926,35926,33207
Sattley,Sierra,74,36,49272,[7],[7]
Sausalito,Marin,7043,3977,89751,111702,180898
Scotia,Humboldt,864,1158,23080,54605,54028
Scotts Valley,Santa Cruz,11711,2536,44459,102927,115324
Seacliff,Santa Cruz,3373,4398,33424,61437,68271
Seal Beach,Orange,24477,2167,46617,54026,92352
Sea Ranch,Sonoma,983,61,46759,59375,77885
Searles Valley,San Bernardino,1597,152,22999,30478,46023
Seaside,Monterey,33729,3650,21548,52538,53926
Sebastopol,Sonoma,7535,4051,35094,52326,67782
Seeley,Imperial,1214,1002,13570,26761,42708
Selma,Fresno,23808,4634,15292,43143,44226
Sequoia Crest,Tulare,26,25,[7],[7],[7]
Sereno del Mar,Sonoma,51,69,71720,123611,[7]
Seville,Tulare,437,687,9214,34219,32813
Shafter,Kern,17261,618,14563,41107,41663
Shandon,San Luis Obispo,1323,449,22883,59236,57639
Shasta,Shasta,1814,165,31400,61042,72400
Shasta Lake,Shasta,10143,929,20337,40295,50343
Shaver Lake,Fresno,735,23,41103,80481,97188
Shell Ridge,Contra Costa,1139,2649,54179,120163,121630
Shelter Cove,Humboldt,516,89,50193,23480,24459
Sheridan,Placer,1465,56,18223,47719,59712
Shingle Springs,El Dorado,4562,556,35567,82788,82740
Shingletown,Shasta,2241,91,23742,50491,58856
Shoshone,Inyo,22,1,40018,[7],[7]
Sierra Brooks,Sierra,418,305,27876,41250,70417
Sierra City,Sierra,263,122,64830,123846,148000
Sierra Madre,Los Angeles,11060,3745,48923,90780,111389
Sierra Village,Tuolumne,612,242,24564,50024,52091
Sierraville,Sierra,133,27,14649,32500,[7]
Signal Hill,Los Angeles,11245,5168,30387,67320,65851
Silverado Resort,Napa,1074,568,89910,161739,168869
Silver City,Tulare,0,0,[7],[7],[7]
Silver Lakes,San Bernardino,5706,1103,26377,66703,77791
Simi Valley,Ventura,125699,3031,37279,89595,98394
Sisquoc,Santa Barbara,276,124,16611,43750,62500
Sky Valley,Riverside,2493,103,21593,34107,50391
Sleepy Hollow,Marin,2584,865,88551,189688,220750
Smartsville,Yuba,143,199,19583,26100,27400
Smith Corner,Kern,661,3005,9508,36063,36438
Smith River,Del Norte,871,219,15985,32426,34583
Snelling,Merced,116,215,24639,38333,70750
Soda Bay,Lake,1369,1065,32831,57450,56716
Soda Springs,Nevada,80,237,22734,28917,[7]
Solana Beach,San Diego,13146,3735,59225,90579,112217
Soledad,Monterey,26008,5892,9701,46010,46651
Solvang,Santa Barbara,5345,2204,39334,66511,77159
Sonoma,Sonoma,10818,3942,45197,66951,96064
Sonora,Tuolumne,4844,1532,25174,32985,46597
Soquel,Santa Cruz,10275,2235,36612,78703,95208
Soulsbyville,Tuolumne,2020,671,28916,74250,74864
South Dos Palos,Merced,2464,1605,12459,44180,50865
South El Monte,Los Angeles,20375,7167,14926,44498,47702
South Gate,Los Angeles,95515,13200,14256,43526,44947
South Lake Tahoe,El Dorado,21394,2106,23865,41380,52885
South Monrovia Island,Los Angeles,6929,12644,17824,57012,57329
South Oroville,Butte,6058,2066,10946,33605,33978
South Pasadena,Los Angeles,25914,7611,46649,80479,107015
South San Francisco,San Mateo,65537,7141,32269,78101,89186
South San Gabriel,Los Angeles,8281,9941,23693,66958,72007
South San Jose Hills,Los Angeles,21012,13934,14020,58154,56408
South Taft,Kern,1680,1561,13453,39784,40365
South Whittier,Los Angeles,58328,10929,20659,64112,65778
Spaulding,Lassen,197,59,26594,54722,64643
Spreckels,Monterey,939,7697,29268,80288,97083
Spring Garden,Plumas,0,0,[7],[7],[7]
Spring Valley,Lake,1000,203,17196,27404,31354
Spring Valley,San Diego,29841,4165,26104,64517,68285
Spring Valley Lake,San Bernardino,7816,2632,26121,59040,73575
Springville,Tulare,502,120,24696,35038,60625
Squaw Valley,Fresno,2450,43,24659,63629,68948
Squirrel Mountain Valley,Kern,372,522,39483,42596,43990
Stallion Springs,Kern,2983,182,32696,55903,63306
Stanford,Santa Clara,13506,4945,30200,51622,173750
Stanton,Orange,38455,12417,18870,45842,47509
Stevenson Ranch,Los Angeles,18832,2962,47057,114555,125459
Stevinson,Merced,171,151,26693,52250,72917
Stinson Beach,Marin,425,295,60870,108571,123309
Stirling City,Butte,154,131,31496,97792,97792
Stockton,San Joaquin,297223,4820,19927,45347,50166
Stonyford,Colusa,283,98,19104,50833,58750
Storrie,Plumas,0,0,[7],[7],[7]
Stratford,Kings,1301,1905,9288,23750,21579
Strathmore,Tulare,3626,2579,9913,26250,22398
Strawberry,Marin,5684,4313,65102,87870,103676
Strawberry,Tuolumne,228,438,16877,[7],[7]
Sugarloaf Mountain Park,Tulare,0,0,[7],[7],[7]
Sugarloaf Saw Mill,Tulare,0,0,[7],[7],[7]
Sugarloaf Village,Tulare,9,134,27122,21250,[7]
Suisun City,Solano,28627,6974,25809,71306,76051
Sultana,Tulare,813,1831,9019,24282,24176
Summerland,Santa Barbara,1575,794,65173,89050,106763
Sunnyside,Fresno,4159,2158,31299,63222,65323
Sunnyside-Tahoe City,Placer,1845,546,33019,69330,93000
Sunny Slopes,Mono,137,73,69329,135438,[7]
Sunnyvale,Santa Clara,145921,6638,48203,103257,117982
Sunol,Alameda,956,34,51704,82750,96071
Sun Village,Los Angeles,11613,1088,17065,57840,59753
Susanville,Lassen,16537,2081,15350,49430,69871
Sutter,Sutter,2959,975,29639,64671,64833
Sutter Creek,Amador,2271,866,30601,41071,70250
Swall Meadows,Mono,259,58,35984,72083,81563
Taft,Kern,9063,594,19016,50991,56886
Taft Heights,Kern,2612,8824,19555,54505,53302
Taft Mosswood,San Joaquin,1398,2956,11291,31829,33400
Tahoe Vista,Placer,1332,490,27463,53068,59676
Tahoma,El Dorado,959,370,32244,50568,53438
,Placer,,,,,
Talmage,Mendocino,1335,840,20095,69853,81944
Tamalpais-Homestead Valley,Marin,10331,2205,70073,138598,162628
Tara Hills,Contra Costa,4767,7168,23890,57708,62143
Tarpey Village,Fresno,3246,4032,21394,58641,71833
Taylorsville,Plumas,185,57,56136,76176,[7]
Tecopa,Inyo,115,6,11688,12000,20714
Tehachapi,Kern,13818,1399,16613,42654,57389
Tehama,Tehama,397,500,22452,47679,49286
Temecula,Riverside,104955,2821,28630,78535,86773
Temelec,Sonoma,1505,948,65456,40000,66304
Temescal Valley,Riverside,24714,1282,34390,89259,96162
Temple City,Los Angeles,36006,8988,27403,63803,73210
Templeton,San Luis Obispo,7753,987,33281,72854,88650
Tennant,Siskiyou,115,473,10137,14934,15865
Terminous,San Joaquin,409,419,47117,53636,65865
Terra Bella,Tulare,2912,1070,7919,24489,25352
Teviston,Tulare,1823,840,8812,24267,22850
Thermal,Riverside,3570,378,10647,26344,23481
Thermalito,Butte,6911,544,14509,35156,35958
Thornton,San Joaquin,748,351,14204,33500,33646
Thousand Oaks,Ventura,128126,2322,46231,99115,116599
Thousand Palms,Riverside,7956,337,20191,43813,45830
Three Rivers,Tulare,2278,51,33420,43913,67125
Three Rocks,Fresno,51,68,8131,[7],[7]
Tiburon,Marin,9100,2047,99710,130661,170915
Timber Cove,Sonoma,132,23,37758,34554,64375
Tipton,Tulare,2327,2304,9892,32239,32716
Tobin,Plumas,12,2,[7],[7],[7]
Tomales,Marin,155,467,38493,38480,[7]
Tonyville,Tulare,764,15280,16311,49934,49934
Tooleville,Tulare,387,5776,13664,29125,24766
Topanga,Los Angeles,8923,467,62434,115518,125946
Topaz,Mono,123,40,12633,[7],[7]
Toro Canyon,Santa Barbara,1476,413,57476,72500,103056
Torrance,Los Angeles,147181,7187,36876,78286,94077
Tracy,San Joaquin,84573,3749,26121,74748,80439
Tranquillity,Fresno,897,1454,11432,24919,26528
Traver,Tulare,910,1080,12035,38359,31563
Tres Pinos,San Benito,457,127,40395,75893,124000
Trinidad,Humboldt,236,487,34981,42917,83750
Trinity Center,Trinity,239,46,24426,26859,26830
Trinity Village,Trinity,211,53,25325,32292,33571
Trona,Inyo,0,0,[7],[7],[7]
Trowbridge,Sutter,184,27,19087,52917,78750
Truckee,Nevada,16191,501,37117,72159,82356
Tulare,Tulare,60663,2977,18336,46387,50690
Tulelake,Siskiyou,1029,2510,17233,35208,35227
Tuolumne City,Tuolumne,1824,782,21238,33030,34821
Tupman,Kern,176,333,16889,45313,45938
Turlock,Stanislaus,69875,4128,22847,51594,59645
Tustin,Orange,77765,6988,31392,71105,77327
Tuttle,Merced,17,10,[7],[7],[7]
Tuttletown,Tuolumne,949,129,35006,47794,60724
Twain,Plumas,0,0,[7],[7],[7]
Twain Harte,Tuolumne,2374,642,29206,43625,58939
Twentynine Palms,San Bernardino,25601,433,20510,40890,42914
Twin Lakes,Santa Cruz,5212,7554,33493,50933,72432
Ukiah,Mendocino,15956,3417,23443,42237,53145
Union City,Alameda,71675,3695,30158,82564,93050
"University of California, Davis",Yolo,6735,4604,6412,25462,29095
"University of California, Merced",Merced,0,0,[7],[7],[7]
Upland,San Bernardino,75089,4808,29064,61551,68353
Upper Lake,Lake,755,449,18717,32438,47880
Vacaville,Solano,93994,3312,30111,74207,85931
Valinda,Los Angeles,23818,11826,17809,66697,67367
Vallecito,Calaveras,573,67,28131,83487,84375
Vallejo,Solano,118078,3850,25945,58472,67543
Valle Vista,Riverside,15995,2329,20501,40010,46584
Valley Acres,Kern,717,174,28066,47466,60938
Valley Center,San Diego,9872,360,31746,85176,94094
Valley Ford,Sonoma,167,63,9490,9312,[7]
Valley Home,Stanislaus,292,285,16302,36964,37321
Valley Ranch,Plumas,68,60,44196,115000,115000
Valley Springs,Calaveras,3631,368,28566,67827,71964
Valley Wells,Inyo,0,0,[7],[7],[7]
Val Verde,Los Angeles,2550,994,19594,68017,69856
Vandenberg AFB,Santa Barbara,3464,157,20710,61308,60260
Vandenberg Village,Santa Barbara,7133,1359,34667,77551,98265
Verdi,Sierra,92,22,11680,4853,[7]
Vernon,Los Angeles,59,12,19973,38500,38250
Victor,San Joaquin,605,482,7873,19259,35250
Victorville,San Bernardino,119603,1631,15873,47142,50608
View Park-Windsor Hills,Los Angeles,11374,6178,44586,76461,109939
Villa Park,Orange,5911,2843,65733,150864,157910
Vina,Tehama,161,119,17404,26250,24821
Vincent,Los Angeles,17687,12016,20142,76682,74880
Vine Hill,Contra Costa,4296,2860,21948,62857,65729
Vineyard,Sacramento,25640,1490,26688,76084,78987
Visalia,Tulare,126942,3407,22885,52262,56766
Vista,San Diego,96181,5149,21161,47782,53505
Vista Santa Rosa,Riverside,2815,175,15530,52713,49688
Volcano,Amador,0,0,[7],[7],[7]
Volta,Merced,257,59,19853,42464,63500
Walker,Mono,540,29,39294,63889,77461
Wallace,Calaveras,682,157,53687,72120,105056
Walnut,Los Angeles,29822,3317,35064,100934,107750
Walnut Creek,Contra Costa,65923,3336,51998,80399,112114
Walnut Grove,Sacramento,1137,112,32844,65463,70240
Walnut Park,Los Angeles,16039,21443,13044,41202,41809
Warm Springs,Riverside,3163,2133,20851,80042,75714
Warner Valley,Plumas,5,0,[7],[7],[7]
Wasco,Kern,25865,2744,10931,39273,40437
Washington,Nevada,17,9,[7],[7],[7]
Waterford,Stanislaus,8579,3685,15757,44660,49583
Waterloo,San Joaquin,384,71,36472,132125,143083
Watsonville,Santa Cruz,52085,7788,17377,46691,48957
Waukena,Tulare,173,184,18462,46750,66094
Wawona,Mariposa,167,26,16110,47656,7308
Weaverville,Trinity,3294,316,24043,42165,52712
Weed,Siskiyou,2937,613,14202,29200,37639
Weedpatch,Kern,2170,610,9981,28075,28636
Weldon,Kern,2604,98,19074,30988,46875
Weott,Humboldt,152,202,27832,93393,93393
West Athens,Los Angeles,8615,6448,16499,38371,41473
West Bishop,Inyo,2865,327,37527,83125,93571
West Carson,Los Angeles,20766,9164,28307,62414,72548
West Covina,Los Angeles,107441,6698,24944,67069,72751
West Goshen,Tulare,633,537,7653,20350,14572
Westhaven-Moonstone,Humboldt,962,119,30340,54261,60750
West Hollywood,Los Angeles,35053,18576,54352,56025,70438
Westlake Village,Los Angeles,8393,1619,62394,115550,145106
Westley,Stanislaus,853,489,7011,18462,18462
West Menlo Park,San Mateo,3743,7686,82841,169798,192250
Westminster,Orange,91255,9086,22821,53660,57262
West Modesto,Stanislaus,5534,2787,12356,27297,28103
Westmont,Los Angeles,30835,16686,14176,27072,31813
Westmorland,Imperial,1747,2961,11257,22372,24464
West Park,Fresno,792,442,14550,36389,38167
West Point,Calaveras,743,200,17924,28262,29022
West Puente Valley,Los Angeles,23868,12771,17005,62669,65052
West Rancho Dominguez,Los Angeles,21739,5470,16783,44909,48736
West Sacramento,Yolo,49946,2324,25081,53307,62905
West Whittier-Los Nietos,Los Angeles,26590,10556,19949,62486,65326
Westwood,Lassen,1509,278,20710,33452,54135
Wheatland,Yuba,3494,2144,21363,61370,66347
Whitehawk,Plumas,41,16,37346,76944,[7]
Whitewater,Riverside,469,48,13003,15500,34375
Whitley Gardens,San Luis Obispo,166,121,47110,85385,103971
Whittier,Los Angeles,86400,5898,27632,65583,74628
Wildomar,Riverside,33601,1419,22380,60816,63592
Wilkerson,Inyo,550,96,32961,73125,76750
Williams,Colusa,5166,949,18878,54069,56232
Willits,Mendocino,4853,1735,18502,34186,50233
Willowbrook,Los Angeles,20897,13508,11840,37760,37750
Willow Creek,Humboldt,1425,47,18701,35607,53523
Willows,Glenn,6118,2149,24044,38730,59952
Wilsonia,Tulare,0,0,[7],[7],[7]
Wilton,Sacramento,4670,161,36737,81250,99135
Winchester,Riverside,2717,351,26244,57935,59293
Windsor,Sonoma,27113,3731,33615,81442,93921
Winter Gardens,San Diego,20346,4594,26701,61759,66738
Winterhaven,Imperial,151,619,17087,21793,[7]
Winters,Yolo,6843,2332,27983,59856,67422
Winton,Merced,11774,3872,13230,41091,41203
Wofford Heights,Kern,2043,337,23742,30500,43750
Woodacre,Marin,1778,989,50853,88657,104783
Woodbridge,San Joaquin,3973,1319,34483,72452,91701
Woodcrest,Riverside,15951,1398,29068,86095,88207
Woodlake,Tulare,7452,3227,12469,35509,37711
Woodland,Yolo,56390,3684,25149,54532,66901
Woodlands,San Luis Obispo,448,271,59986,79864,88864
Woodside,San Mateo,5427,463,125559,206528,242143
Woodville,Tulare,1961,451,11897,34750,31071
Wrightwood,San Bernardino,4452,751,29168,55697,57139
Yankee Hill,Butte,242,40,21555,33500,53875
Yettem,Tulare,285,1863,7478,[7],[7]
Yolo,Yolo,561,407,22830,75089,90764
Yorba Linda,Orange,66335,3435,47852,115994,128542
Yosemite Lakes,Madera,4668,223,34430,59750,69583
Yosemite Valley,Mariposa,877,426,26579,37250,111875
Yountville,Napa,2977,1945,51554,65568,90391
Yreka,Siskiyou,7675,769,18142,26385,31728
Yuba City,Sutter,65141,4447,23038,50494,56734
Yucaipa,San Bernardino,52406,1845,26103,58506,69098
Yucca Valley,San Bernardino,21083,527,20643,43086,53767
Zayante,Santa Cruz,853,313,31533,81308,93490
