Place,County/ies,Population,Population Density,Per capita income,Median household income,Median family income
California City,Kern,13243,65,22908,57660,61581
California Hot Springs,Tulare,74,99,23838,41250,83750
California Pines,Modoc,367,49,16074,41518,74236
Calimesa,Riverside,8143,549,24981,42392,61319
Calipatria,Imperial,7599,2045,10352,30911,32135
Calistoga,Napa,5244,2019,33280,52131,83889
Callender,San Luis Obispo,1537,672,29647,75200,77936
Calpella,Mendocino,424,167,22521,44000,54038
Calpine,Sierra,189,266,32869,25938,126000
Calwa,Fresno,1330,2131,6559,18625,14219
Camanche North Shore,Amador,947,406,33000,77375,83276
Camanche Village,Amador,840,155,29831,86176,103214
Camarillo,Ventura,65985,3378,39689,87120,102201
Cambria,San Luis Obispo,6246,734,40857,62948,82656
Cambrian Park,Santa Clara,3318,5567,46468,101406,112500
Cameron Park,El Dorado,18831,1695,35469,74690,86690
Camino,El Dorado,1833,815,35973,72383,81477
Camino Tassajara,Contra Costa,1789,1404,64980,142371,155948
Campbell,Santa Clara,40327,6948,44769,91269,103539
Camp Nelson,Tulare,100,81,46972,84107,84107
Campo,San Diego,3031,129,28810,59294,75272
Camp Pendleton North,San Diego,6436,727,17566,37075,37075
Camp Pendleton South,San Diego,12691,3243,15779,43742,43568
Camptonville,Yuba,150,176,21369,28750,47917
Canby,Modoc,693,306,11576,41932,41932
Cantua Creek,Fresno,440,116,9890,31181,31181
Canyondam,Plumas,78,101,18027,[7],[7]
Canyon Lake,Riverside,10810,2764,34925,74682,79561
Capitola,Santa Cruz,10043,6305,37940,56607,81133
Caribou,Plumas,0,0,[7],[7],[7]
Carlsbad,San Diego,109296,2897,44305,87416,106924
Carmel-by-the-Sea,Monterey,3807,3525,45928,62460,92750
Carmel Valley Village,Monterey,4321,228,55560,95444,115333
Carmet,Sonoma,14,49,[7],[7],[7]
Carmichael,Sacramento,63314,4680,32665,54598,70783
Carnelian Bay,Placer,463,356,36276,72083,91389
Carpinteria,Santa Barbara,13323,5152,33331,65467,76311
Carrick,Siskiyou,66,1119,12639,[7],[7]
Carson,Los Angeles,92475,4939,23622,71420,76997
Cartago,Inyo,38,33,32953,46016,[7]
Caruthers,Fresno,3338,1650,13785,44375,44898
Casa Conejo,Ventura,3699,7837,28694,89432,100125
Casa de Oro-Mount Helix,San Diego,21076,3077,37682,75637,96717
Casmalia,Santa Barbara,114,606,20635,47031,45938
Caspar,Mendocino,599,200,28594,50000,75104
Cassel,Shasta,349,172,27611,34600,33450
Castaic,Los Angeles,18619,2564,35715,105523,110130
Castle Hill,Contra Costa,1223,1682,54105,113952,124167
Castro Valley,Alameda,62363,3725,38897,83442,97572
Castroville,Monterey,6226,6092,14156,50000,52069
Cathedral City,Riverside,52550,2444,19674,43128,47489
Catheys Valley,Mariposa,878,38,32190,51528,57813
Cayucos,San Luis Obispo,2553,824,45327,57863,73021
Cazadero,Sonoma,312,44,25780,43875,42969
Cedar Ridge,Tuolumne,1132,145,33038,54271,73750
Cedar Slope,Tulare,0,0,[7],[7],[7]
Cedarville,Modoc,297,55,22492,28274,29048
Centerville,Fresno,348,43,39458,85833,106250
Ceres,Stanislaus,46570,4993,18575,46132,48964
Cerritos,Los Angeles,49599,5687,35460,91487,100919
Chalfant,Mono,714,26,34043,66361,86731
Challenge-Brownsville,Yuba,952,98,19383,47959,36771
Channel Islands Beach,Ventura,2778,6876,53956,90521,110461
Charter Oak,Los Angeles,9200,9914,24139,61946,70187
Cherokee,Butte,80,46,23230,36875,85156
Cherokee Strip,Kern,295,3242,9350,36250,28026
Cherryland,Alameda,15244,12735,20378,50374,50537
Cherry Valley,Riverside,6823,851,29789,58080,66047
Chester,Plumas,1978,271,21631,40417,48409
Chico,Butte,87517,2658,24775,42334,60195
Chilcoot-Vinton,Plumas,130,10,14089,[7],[7]
China Lake Acres,Kern,1376,264,22054,21970,37422
Chinese Camp,Tuolumne,99,110,27201,24722,103125
Chino,San Bernardino,80810,2724,23116,72554,78328
Chino Hills,San Bernardino,76187,1705,35529,97609,105911
Chowchilla,Madera,18411,1653,11856,36852,38180
Chualar,Monterey,1255,2005,15542,58036,57679
Chula Vista,San Diego,253031,5098,25385,66110,74703
Citrus,Los Angeles,11446,12904,17422,58626,61119
Citrus Heights,Sacramento,84678,5951,24915,51150,59355
Claremont,Los Angeles,35569,2664,39402,89648,108739
Clarksburg,Yolo,406,200,35308,49783,49130
Clay,Sacramento,1153,171,35120,76184,71429
Clayton,Contra Costa,11328,2950,54740,131136,141623
Clear Creek,Lassen,182,161,19851,33021,65938
Clearlake,Lake,15121,1493,16301,25532,30772
Clearlake Oaks,Lake,1547,782,20844,27500,38750
Clearlake Riviera,Lake,2912,557,23831,43167,45842
Cleone,Mendocino,679,426,31822,62632,59853
Clio,Plumas,49,85,29645,75313,[7]
Clipper Mills,Butte,0,0,[7],[7],[7]
Cloverdale,Sonoma,8692,2863,28677,59120,67746
Clovis,Fresno,98815,4211,28497,63662,74201
Clyde,Contra Costa,680,4789,27403,41382,93750
Coachella,Riverside,42576,1471,12321,40423,40018
Coalinga,Fresno,17235,2582,19237,50373,53750
Coarsegold,Madera,1172,107,26734,30216,66346
Cobb,Lake,1147,230,29938,71641,83357
Coffee Creek,Trinity,132,12,26230,58889,92500
Cohasset,Butte,808,32,21582,55595,58520
Cold Springs,El Dorado,623,825,23860,49150,81458
Cold Springs,Tuolumne,193,111,31913,34963,[7]
Coleville,Mono,395,29,36201,45147,46397
Colfax,Placer,2424,1724,24810,46902,48269
College City,Colusa,196,60,26042,97727,97727
Collierville,San Joaquin,1942,295,28835,51595,60096
Colma,San Mateo,1837,964,30256,88438,95208
Coloma,El Dorado,761,227,30194,65426,66051
Colton,San Bernardino,53129,3467,16004,39915,44608
Columbia,Tuolumne,2456,412,20816,40313,52029
Colusa,Colusa,5962,3251,22606,45959,50515
Commerce,Los Angeles,12975,1985,15625,45846,50948
Comptche,Mendocino,77,67,47960,83750,[7]
Compton,Los Angeles,97663,9755,13847,43230,45877
Concord,Contra Costa,125017,4093,31404,67122,78218
Concow,Butte,539,20,29949,34773,58438
Contra Costa Centre,Contra Costa,6031,9483,57385,87721,107547
Copperopolis,Calaveras,4365,210,31166,56831,71477
Corcoran,Kings,23634,3150,7995,34082,35048
Corning,Tehama,7617,2146,13776,36906,35390
Corona,Riverside,157395,4053,27577,77021,82607
Coronado,San Diego,24333,3068,48476,90876,112608
Coronita,Riverside,3397,4952,26292,78304,77857
Corralitos,Santa Cruz,2812,313,36032,84466,94778
Corte Madera,Marin,9478,2997,64762,113279,141143
Costa Mesa,Orange,111635,7111,33342,66491,76781
Cotati,Sonoma,7347,3908,32834,59808,75461
Coto de Caza,Orange,14647,1897,70990,166328,172654
Cottonwood,Shasta,4178,1806,17268,42660,44450
Coulterville,Mariposa,227,54,28431,45000,[7]
Country Club,San Joaquin,10018,5226,20643,43323,50168
Courtland,Sacramento,515,286,42765,58472,57266
Covelo,Mendocino,1444,204,17585,26389,23553
Covina,Los Angeles,48429,6891,25622,64496,73113
Cowan,Stanislaus,510,3269,11454,37656,25833
Crescent City,Del Norte,7295,3716,12430,27885,43554
Crescent Mills,Plumas,426,100,15014,31655,32230
Cressey,Merced,322,183,22093,53214,53214
Crest,San Diego,2393,366,35347,74115,79632
Crestline,San Bernardino,9437,682,24754,47175,53552
Creston,San Luis Obispo,61,108,58821,83523,[7]
C-Road,Plumas,213,80,23339,78796,79583
Crockett,Contra Costa,3151,2973,42310,81667,89588
Cromberg,Plumas,172,19,48815,32188,163030
Crowley Lake,Mono,707,252,40119,88500,93611
Crows Landing,Stanislaus,194,61,13302,29018,31563
Cudahy,Los Angeles,24073,20488,11400,37759,36289
Culver City,Los Angeles,39353,7700,45792,79292,99860
Cupertino,Santa Clara,59787,5286,55867,134872,158053
Cutler,Tulare,4224,5234,6456,18346,17629
Cutten,Humboldt,3117,2409,30467,55080,71381
Cuyama,Santa Barbara,72,159,10951,27188,27917
Cypress,Orange,48748,7374,33693,83819,92166
Daly City,San Mateo,103897,13599,28753,74489,83096
Dana Point,Orange,33861,5210,51474,84404,103457
Danville,Contra Costa,42891,2373,65783,140616,157842
Daphnedale Park,Modoc,20,15,[7],[7],[7]
Darwin,Inyo,18,13,24089,[7],[7]
Davenport,Santa Cruz,303,107,33563,67031,78393
Davis,Yolo,66093,6688,33646,57454,110692
Day Valley,Santa Cruz,3869,209,39039,73393,85438
Deer Park,Napa,1072,192,53298,97266,122361
Del Aire,Los Angeles,10406,10262,31248,79943,88997
Delano,Kern,52883,3697,10455,36244,36684
